,hs,wind_speed,wind_dir,picks_period,avg_period
49296,0.4,4.0,2,5.15,4.74
49297,0.4,3.8,2,5.14,4.65
49298,0.3,3.7,2,5.12,4.55
49299,0.3,3.6,2,5.1,4.45
49300,0.3,3.5,2,5.08,4.36
49301,0.3,3.4,2,5.07,4.28
49302,0.3,3.4,6,5.06,4.21
49303,0.3,3.4,6,5.06,4.15
49304,0.3,3.5,6,5.06,4.11
49305,0.2,3.5,6,5.06,4.08
49306,0.2,3.6,6,5.06,4.06
49307,0.2,3.7,6,5.07,4.05
49308,0.2,3.6,6,5.07,4.04
49309,0.2,3.5,6,5.07,4.03
49310,0.2,3.3,6,5.08,4.02
49311,0.2,3.0,6,5.08,4.01
49312,0.2,2.8,6,5.07,3.99
49313,0.2,2.6,6,5.06,3.98
49314,0.2,2.5,6,5.04,3.97
49315,0.2,2.4,6,4.92,3.96
49316,0.2,2.3,6,4.83,3.94
49317,0.2,2.2,6,4.8,3.92
49318,0.2,2.2,6,4.79,3.89
49319,0.2,2.2,6,4.78,3.86
49320,0.2,2.2,6,4.76,3.83
49321,0.2,2.0,6,4.75,3.81
49322,0.2,2.0,6,4.73,3.79
49323,0.2,1.9,6,4.7,3.78
49324,0.1,1.8,6,4.68,3.77
49325,0.1,1.8,2,4.65,3.76
49326,0.1,1.8,2,4.63,3.75
49327,0.1,1.8,2,4.6,3.74
49328,0.1,1.9,2,4.19,3.73
49329,0.1,1.9,2,4.08,3.72
49330,0.1,2.1,2,4.03,3.7
49331,0.1,2.2,1,4.0,3.69
49332,0.1,2.3,1,3.95,3.68
49333,0.1,2.3,1,3.73,3.68
49334,0.1,2.2,1,3.7,3.68
49335,0.1,2.2,3,3.68,3.68
49336,0.1,2.2,3,4.27,3.69
49337,0.1,2.4,3,4.28,3.72
49338,0.1,2.6,3,4.3,3.75
49339,0.1,2.9,3,4.35,3.78
49340,0.1,3.2,3,4.43,3.81
49341,0.1,3.5,3,4.58,3.84
49342,0.1,3.8,3,4.66,3.86
49343,0.1,4.2,3,4.68,3.87
49344,0.1,4.7,3,4.68,3.85
49345,0.1,5.1,3,4.67,3.79
49346,0.1,5.5,3,4.65,3.71
49347,0.1,6.0,3,4.63,3.61
49348,0.1,6.2,3,4.6,3.49
49349,0.1,6.7,3,4.56,3.34
49350,0.1,7.2,3,2.72,3.13
49351,0.2,7.6,3,2.67,2.8
49352,0.6,7.8,3,2.68,2.57
49353,0.9,8.7,3,3.51,3.35
49354,1.0,9.0,3,3.96,3.73
49355,1.1,9.1,3,4.07,3.9
49356,1.3,9.3,3,4.39,3.99
49357,1.4,9.5,3,4.48,4.17
49358,1.6,9.7,3,4.83,4.41
49359,1.8,0.2,3,5.21,4.63
49360,2.0,0.8,3,5.36,4.88
49361,2.2,1.2,3,5.78,5.13
49362,2.4,1.6,1,5.92,5.36
49363,2.6,1.9,1,6.33,5.57
49364,2.8,2.1,1,6.42,5.74
49365,2.8,2.1,1,6.53,5.85
49366,2.9,2.2,1,6.75,5.93
49367,3.0,2.0,1,6.89,6.0
49368,3.0,2.0,1,6.95,6.06
49369,3.0,1.8,1,6.99,6.11
49370,3.0,1.7,1,7.02,6.14
49371,3.0,1.5,1,7.03,6.16
49372,3.0,1.4,1,7.03,6.16
49373,3.0,1.3,1,7.02,6.15
49374,2.9,1.1,1,7.02,6.14
49375,2.9,1.2,1,7.01,6.13
49376,2.9,1.2,1,7.0,6.12
