,a,b,r
0,0.6918312134455468,0.8261430699946859,0.8026707788294986
1,0.6787517302552843,0.8205008617313962,0.7970594145842037
2,0.6703985894213071,0.8121845902235165,0.7886739856632267
3,0.6600206087008968,0.8041999192745144,0.7806486650436125
4,0.6537662126887864,0.7948373764108694,0.7713328978155193
5,0.647642708352919,0.785009549868515,0.7615108984175601
6,0.6452165209270131,0.7714079753638745,0.7480068594127497
7,0.641975509049696,0.7604056422533156,0.7372040178864155
8,0.6369014887641652,0.7502608486174569,0.7272663644152594
9,0.6369868879435356,0.7449880768347852,0.722280384185297
10,0.6350793061227316,0.7389664611265674,0.7164110962151008
11,0.6343581135284697,0.7305554892313206,0.7065077711992872
12,0.6316945623940222,0.7216619588434874,0.6979692814298343
13,0.632914937207679,0.7050922393201458,0.6816279428554094
14,0.6298117798580309,0.6841353212856098,0.6609097867159698
15,0.6321550117848068,0.665290793909382,0.642307164158718
16,0.6324043637236658,0.6479417861289429,0.625040485398357
17,0.630311776691459,0.6350618820169025,0.6122605012068424
18,0.628310944850615,0.6209768772900999,0.598255610132879
19,0.6254413958910465,0.6086958651190972,0.5860269658255478
20,0.623116513488414,0.6063282385872539,0.5839002270545973
21,0.6260099707008763,0.6122195079782653,0.5898250179843395
22,0.6256714115972007,0.6315733705616975,0.6092141363115148
23,0.6266594122455338,0.6596908003567519,0.6374844969835146
24,0.6255975692025652,0.6887262662951339,0.6666346921413732
25,0.6238897290351493,0.7229010543223469,0.7007099609681474
26,0.622145977464738,0.7553465219292632,0.7328798179171255
27,0.6204931035141323,0.781678974829286,0.758735442249514
28,0.6145750297175678,0.8009196467844708,0.7772971357413186
29,0.6130008677195948,0.8098753589546595,0.7858910399275091
30,0.6115527439200413,0.7966968085789197,0.7732897941696181
31,0.6109921472577244,0.8018635213370917,0.7782398689903179
32,0.6148048962369178,0.8269286870161481,0.8048766685735934
33,0.6168751029729692,0.848687231470685,0.8251125993069705
34,0.6145189973006125,0.8899904269562131,0.8666589101620551
35,0.61166788284843,0.9112397545342499,0.8890253674492462
36,0.6138899587066116,0.9139574807193336,0.8906039121069936
37,0.6101998447937977,0.9151516358048855,0.8915382006682798
38,0.6086747211876697,0.9118480191513096,0.8883050154378659
39,0.6058289178659473,0.9094283226629409,0.8861752654232139
40,0.5994443549788699,0.9025214596737057,0.8794473859395139
41,0.5968125919311287,0.901969448350868,0.878890292486754
42,0.5974681622140275,0.899648786148211,0.8766409851463141
43,0.5947262590419926,0.8906092088484283,0.8675901116526589
44,0.594571283582007,0.8799685640477553,0.8562486677922693
45,0.5947011739809787,0.8728682229654048,0.8489605385389464
46,0.5953794695057513,0.8678713204093724,0.843724325994346
47,0.5954452437798804,0.8728910422807785,0.8486941104089266
48,0.5984948798431352,0.8781103169905342,0.8538192690157499
49,0.5978106546933835,0.8836573048935752,0.859049289481889
