,0,1,2,3,chunk
0,0.0,0.0,0.0,0.06799231485768788,0
0,0.13081580043673552,0.0,0.0,0.5150991974788031,1
0,-0.0,0.0,0.0,0.5915481400913182,2
0,0.126820185920714,-0.0,0.0,0.5145082539978154,3
0,0.07161875441159457,-0.0,0.0,0.39213815311523426,4
0,0.0,0.0,0.0,0.0,5
0,0.16544286795169266,0.0,0.0,0.0,6
0,0.0542722046272573,-0.0,0.0,0.33941583098539463,7
0,0.03895529692323374,0.0,0.0,0.0,8
0,0.2888503479915667,0.0,0.0,0.0,9
0,0.04658236991858591,-0.0,0.05262549272543726,0.5050583620084078,10
0,0.0,-0.0,0.0,1.0110024631464565,11
0,-0.0,-0.1494081058016713,0.0,0.945783824623361,12
0,0.17876460919410936,0.0,0.0,0.6319743100844728,13
0,0.0,0.0,-0.0,-0.0,14
0,0.04493599057202506,-0.0,0.7299790154926363,0.0,15
0,0.4151708887283999,0.0,0.0,0.0,16
0,0.17296241440300322,-0.0,0.00023871056453715793,0.0,17
0,0.0,-0.05517571069302418,0.0,0.0,18
0,-0.04422237562948353,0.0,0.5984402528706844,0.0,19
0,0.0,0.0,0.6669843775070137,0.0,20
0,-0.13034915630444233,0.0,0.0,1.2763075303281486,21
0,0.0,0.0,0.0,0.8947347998110756,22
0,-0.0,0.0,-0.15426240894835044,1.1462971704044347,23
0,0.06171957646498387,0.0,0.25121594621916044,0.0,24
0,0.040436598489591954,-0.0,0.0,0.5327893834633691,25
0,-0.0,-0.0,0.0,1.5067936008127585,26
0,0.0,-0.0,0.0,0.0,27
0,0.1479554742557768,-0.0,0.0,0.0,28
0,-0.13672477552941464,-0.10944042841152261,0.0,0.6126001668134534,29
0,0.13261489853999367,0.0,0.6128658797152754,0.0,30
0,0.4089078362027925,0.0,0.0,0.0,31
0,0.0,-0.1629055201270672,0.0,1.026692501094705,32
0,0.0,0.0,0.14169260819081655,0.20668966844397607,33
0,0.0,-0.0,-0.0,-0.0,34
0,0.0,-0.0,0.0,0.0,35
0,-0.0,0.0,0.0,1.0168213785549811,36
0,-0.16798370689194475,0.4690804366169427,-0.08373844696679121,0.38637939496145984,37
0,-0.0,0.0,0.0,1.0519448799160642,38
0,-0.0,0.0,0.0,0.6981604339573645,39
0,0.0,0.0,0.0,0.0,40
0,0.0,0.0,0.0,0.20396177064179638,41
0,0.1390793665762508,-0.0,0.0,0.0,42
0,0.06616335429093652,-0.0,0.0,0.0,43
